model_name,architecture,attention_type,epoch,train_loss,train_accuracy,test_loss,test_accuracy,cumulative_training_time
MLP - Control,MLP, Control,1,1.6495022773742676,0.41565316915512085,1.481236219406128,0.47929999232292175,0.20332326889038085
MLP - Control,MLP, Control,2,1.4145686626434326,0.5031411051750183,1.407012701034546,0.5026000142097473,0.4066465377807617
MLP - Control,MLP, Control,3,1.2885161638259888,0.547861635684967,1.3749603033065796,0.5236999988555908,0.6099698066711425
MLP - Control,MLP, Control,4,1.1939841508865356,0.5813466310501099,1.350727915763855,0.5259000062942505,0.8132930755615234
MLP - Control,MLP, Control,5,1.0983558893203735,0.6145296096801758,1.349601149559021,0.5313999652862549,1.0166163444519043
MLP - Control,MLP, Control,6,1.019604206085205,0.6439674496650696,1.3304492235183716,0.5446000099182129,1.219939613342285
MLP - Control,MLP, Control,7,0.9247937202453613,0.67578125,1.3980882167816162,0.5367000102996826,1.423262882232666
MLP - Control,MLP, Control,8,0.8376201391220093,0.707353413105011,1.3822702169418335,0.5442999601364136,1.6265861511230468
MLP - Control,MLP, Control,9,0.7553614974021912,0.7344353795051575,1.4500840902328491,0.5410000085830688,1.8299094200134278
MLP - Control,MLP, Control,10,0.6740581393241882,0.7668330669403076,1.4665864706039429,0.550000011920929,2.0332326889038086
MLP - Control,MLP, Control,11,0.6034824848175049,0.788881242275238,1.568983554840088,0.543999969959259,2.2365559577941894
MLP - Control,MLP, Control,12,0.5264728665351868,0.8187822103500366,1.6528393030166626,0.5442999601364136,2.43987922668457
MLP - Control,MLP, Control,13,0.46619912981987,0.8370248079299927,1.7158416509628296,0.5507000088691711,2.6432024955749513
MLP - Control,MLP, Control,14,0.4042558968067169,0.8600394129753113,1.7865110635757446,0.5424999594688416,2.846525764465332
MLP - Control,MLP, Control,15,0.34297698736190796,0.8842219710350037,1.94710373878479,0.5453999638557434,3.049849033355713
MLP - Control,MLP, Control,16,0.29965412616729736,0.898578405380249,2.068014144897461,0.5397999882698059,3.2531723022460937
MLP - Control,MLP, Control,17,0.2517864406108856,0.9152504801750183,2.1309611797332764,0.5406999588012695,3.4564955711364744
MLP - Control,MLP, Control,18,0.22996456921100616,0.9243314862251282,2.242143154144287,0.5410999655723572,3.6598188400268556
MLP - Control,MLP, Control,19,0.21587197482585907,0.9273517727851868,2.3746376037597656,0.5382999777793884,3.8631421089172364
MLP - Control,MLP, Control,20,0.19508498907089233,0.9343387484550476,2.40412974357605,0.5392000079154968,4.066465377807617
MLP - Control,MLP, Control,21,0.16784043610095978,0.9448292255401611,2.5149528980255127,0.5397999882698059,4.269788646697998
MLP - Control,MLP, Control,22,0.1518343687057495,0.9497019648551941,2.6046550273895264,0.5406999588012695,4.473111915588379
MLP - Control,MLP, Control,23,0.1349637359380722,0.9551183581352234,2.7214195728302,0.5396999716758728,4.67643518447876
MLP - Control,MLP, Control,24,0.12937304377555847,0.9573131203651428,2.797290086746216,0.5331999659538269,4.87975845336914
MLP - Control,MLP, Control,25,0.11701776832342148,0.9613401889801025,2.8337371349334717,0.5378000140190125,5.0830817222595215
MLP - Control,MLP, Control,26,0.11875802278518677,0.9605347514152527,2.904663324356079,0.5408999919891357,5.286404991149903
MLP - Control,MLP, Control,27,0.1329389065504074,0.955219030380249,2.967880964279175,0.5381999611854553,5.489728260040283
MLP - Control,MLP, Control,28,0.13076592981815338,0.9554808139801025,3.008781671524048,0.5406000018119812,5.693051528930664
MLP - Control,MLP, Control,29,0.1136571541428566,0.9625080227851868,3.1496036052703857,0.536799967288971,5.896374797821045
MLP - Control,MLP, Control,30,0.10055936127901077,0.965628981590271,3.260244131088257,0.5389999747276306,6.099698066711426
MLP - Control,MLP, Control,31,0.10285615175962448,0.9648236036300659,3.311599016189575,0.5345999598503113,6.303021335601807
MLP - Control,MLP, Control,32,0.11062102764844894,0.9617831707000732,3.3880956172943115,0.5331999659538269,6.506344604492187
MLP - Control,MLP, Control,33,0.12880714237689972,0.9569708108901978,3.4203765392303467,0.5354999899864197,6.7096678733825685
MLP - Control,MLP, Control,34,0.12942370772361755,0.9556418657302856,3.43896484375,0.5415999889373779,6.912991142272949
MLP - Control,MLP, Control,35,0.10814348608255386,0.9620046615600586,3.520782470703125,0.5281000137329102,7.11631441116333
MLP - Control,MLP, Control,36,0.1166456788778305,0.9616824984550476,3.5468997955322266,0.5353999733924866,7.319637680053711
MLP - Control,MLP, Control,37,0.07800937443971634,0.9743677377700806,3.581064224243164,0.5435999631881714,7.522960948944092
MLP - Control,MLP, Control,38,0.06038498505949974,0.9801868200302124,3.6840016841888428,0.5424000024795532,7.726284217834473
MLP - Control,MLP, Control,39,0.05285680294036865,0.9823211431503296,3.6967430114746094,0.5400999784469604,7.929607486724853
MLP - Control,MLP, Control,40,0.0537719763815403,0.9824017286300659,3.7932660579681396,0.540399968624115,8.132930755615234
MLP - Control,MLP, Control,41,0.05304872244596481,0.982240617275238,3.8764519691467285,0.5396999716758728,8.336254024505616
MLP - Control,MLP, Control,42,0.09598492085933685,0.9680250883102417,3.819134473800659,0.538599967956543,8.539577293395997
MLP - Control,MLP, Control,43,0.13944630324840546,0.9546552300453186,3.8643383979797363,0.5325999855995178,8.742900562286376
MLP - Control,MLP, Control,44,0.14025618135929108,0.953447163105011,3.9114105701446533,0.5375999808311462,8.946223831176757
MLP - Control,MLP, Control,45,0.12698660790920258,0.9577561020851135,3.980245351791382,0.5309000015258789,9.149547100067139
MLP - Control,MLP, Control,46,0.10274309664964676,0.9647430181503296,4.028641700744629,0.5351999998092651,9.35287036895752
MLP - Control,MLP, Control,47,0.08726020157337189,0.971347451210022,4.046833038330078,0.5360999703407288,9.556193637847901
MLP - Control,MLP, Control,48,0.06227223575115204,0.9791398048400879,4.11541748046875,0.5406000018119812,9.75951690673828
MLP - Control,MLP, Control,49,0.048835065215826035,0.9837306141853333,4.165748119354248,0.5476999878883362,9.962840175628662
MLP - Control,MLP, Control,50,0.05307666212320328,0.9830057621002197,4.230576515197754,0.5432000160217285,10.166163444519043
MLP - Control,MLP, Control,51,0.0532282292842865,0.9823815822601318,4.183655738830566,0.5417999625205994,10.369486713409424
MLP - Control,MLP, Control,52,0.05907568335533142,0.9808714389801025,4.337289333343506,0.5370999574661255,10.572809982299805
MLP - Control,MLP, Control,53,0.0924033373594284,0.9701191782951355,4.4180121421813965,0.5297999978065491,10.776133251190185
MLP - Control,MLP, Control,54,0.11407970637083054,0.9630718231201172,4.320897579193115,0.5357999801635742,10.979456520080566
MLP - Control,MLP, Control,55,0.14639556407928467,0.9532055258750916,4.448590278625488,0.527999997138977,11.182779788970947
MLP - Control,MLP, Control,56,0.11059650778770447,0.963857114315033,4.369033336639404,0.5336999893188477,11.386103057861328
MLP - Control,MLP, Control,57,0.067038893699646,0.978012204170227,4.501813888549805,0.5374000072479248,11.58942632675171
MLP - Control,MLP, Control,58,0.05066768079996109,0.9832272529602051,4.497865200042725,0.5439000129699707,11.79274959564209
MLP - Control,MLP, Control,59,0.03951958566904068,0.9863683581352234,4.593153476715088,0.5457000136375427,11.99607286453247
MLP - Control,MLP, Control,60,0.04278954491019249,0.9857441782951355,4.589094161987305,0.5374999642372131,12.199396133422852
MLP - Control,MLP, Control,61,0.06017114967107773,0.9801666736602783,4.616971015930176,0.5449000000953674,12.402719402313233
MLP - Control,MLP, Control,62,0.0710439532995224,0.9769651889801025,4.894916534423828,0.5375999808311462,12.606042671203614
MLP - Control,MLP, Control,63,0.11910984665155411,0.9639174938201904,4.768031120300293,0.5364999771118164,12.809365940093993
MLP - Control,MLP, Control,64,0.11327588558197021,0.9648839831352234,4.808867931365967,0.5245000123977661,13.012689208984375
MLP - Control,MLP, Control,65,0.09589724987745285,0.9691728353500366,4.814167022705078,0.5361999869346619,13.216012477874756
MLP - Control,MLP, Control,66,0.065766841173172,0.9783746600151062,4.860387325286865,0.5418999791145325,13.419335746765137
MLP - Control,MLP, Control,67,0.06265657395124435,0.9796431660652161,4.805352687835693,0.526199996471405,13.622659015655518
MLP - Control,MLP, Control,68,0.05488462373614311,0.9823010563850403,4.904861927032471,0.539900004863739,13.825982284545898
MLP - Control,MLP, Control,69,0.055704496800899506,0.9820594191551208,4.830420017242432,0.5370999574661255,14.029305553436279
MLP - Control,MLP, Control,70,0.059427209198474884,0.980287492275238,4.945077419281006,0.5379999876022339,14.23262882232666
MLP - Control,MLP, Control,71,0.05452940613031387,0.9820795655250549,4.896151065826416,0.5374999642372131,14.435952091217041
MLP - Control,MLP, Control,72,0.051315680146217346,0.9835695624351501,4.976100444793701,0.5365999937057495,14.639275360107423
