model_name,architecture,attention_type,final_test_accuracy,max_test_accuracy,final_train_accuracy,final_train_loss,min_train_loss,total_training_time,num_epochs
MLP - Control,MLP, Control,0.5322999954223633,0.5507000088691711,0.9779115319252014,0.07090787589550018,0.03504878282546997,20.332326889038086,100
CNN - Control,CNN, Control,0.7044000029563904,0.7117999792098999,0.8926385045051575,0.3342030346393585,0.3342030346393585,62.38416814804077,100
MLP - self,MLP, self,0.5235999822616577,0.5408999919891357,0.9617630243301392,0.12170734256505966,0.05630530044436455,26.814045906066895,100
CNN - self,CNN, self,0.6128000020980835,0.6311999559402466,0.9782336950302124,0.0643855482339859,0.014545569196343422,124.44408011436462,100
MLP - multi_head,MLP, multi_head,0.5105999708175659,0.5424999594688416,0.945634663105011,0.1676497906446457,0.09685442596673965,25.632253170013428,100
CNN - multi_head,CNN, multi_head,0.6284999847412109,0.6491999626159668,0.9885631203651428,0.033901605755090714,0.018069246783852577,141.3648180961609,100
MLP - linear,MLP, linear,0.5109999775886536,0.5328999757766724,0.9396544694900513,0.1870736926794052,0.10841617733240128,33.44847249984741,100
CNN - linear,CNN, linear,0.6283000111579895,0.6572999954223633,0.9999999403953552,0.0001904692908283323,0.0001904692908283323,88.69457268714905,100
MLP - performer,MLP, performer,0.51910001039505,0.5473999977111816,0.9495207667350769,0.14711937308311462,0.14640432596206665,34.20740056037903,100
CNN - performer,CNN, performer,0.611799955368042,0.6419000029563904,0.9772672057151794,0.06720390915870667,0.02109336294233799,215.34097576141357,100
MLP - linformer,MLP, linformer,0.5174999833106995,0.545199990272522,0.9457957148551941,0.16774782538414001,0.12258360534906387,26.258635997772217,100
CNN - linformer,CNN, linformer,0.6132999658584595,0.6491999626159668,0.9924492239952087,0.024757254868745804,0.014834427274763584,141.21914291381836,100
MLP - kv_compression,MLP, kv_compression,0.5169999599456787,0.5349999666213989,0.9491180181503296,0.15586398541927338,0.11595019698143005,27.673081159591675,100
CNN - kv_compression,CNN, kv_compression,0.6200999617576599,0.6477000117301941,0.9999597072601318,0.0013372058747336268,0.0013372058747336268,59.29981827735901,100
MLP - sparse,MLP, sparse,0.5145999789237976,0.5378999710083008,0.9409833550453186,0.18334949016571045,0.12047605961561203,27.31692624092102,100
CNN - sparse,CNN, sparse,0.6244999766349792,0.6470999717712402,0.9729582667350769,0.08029958605766296,0.02299223467707634,144.22988200187683,100
MLP - local,MLP, local,0.5151999592781067,0.5338000059127808,0.9531450867652893,0.14052478969097137,0.12915439903736115,36.38655996322632,100
CNN - local,CNN, local,0.6313999891281128,0.652999997138977,0.9819788932800293,0.05316547304391861,0.01650852896273136,155.25123143196106,100
MLP - deepseek_mla,MLP, deepseek_mla,0.510699987411499,0.54339998960495,0.9565882682800293,0.13052400946617126,0.1294286847114563,32.327526807785034,100
CNN - deepseek_mla,CNN, deepseek_mla,0.6406999826431274,0.6548999547958374,0.9925297498703003,0.0208988469094038,0.015386641956865788,163.67225003242493,100
MLP - kimi_k2,MLP, kimi_k2,0.5102999806404114,0.5401999950408936,0.9545143246650696,0.14060863852500916,0.09813401848077774,30.92263650894165,100
CNN - kimi_k2,CNN, kimi_k2,0.6014999747276306,0.6410999894142151,0.9859858155250549,0.04230504482984543,0.02466302178800106,64.49453949928284,100
